#assembly=GRCh38
#Chrom	Start	End	Phenotype	OMIM_ID	Repeat_numbers	Allele_counts	Classifications	Classification_ranges
chrX	67545317	67545385	Spinal and bulbar muscular atrophy of Kennedy	313200	9,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	1,1,2,6,19,18,20,18,28,24,13,18,13,7,4,4,3,1,1	Normal, Expanded	0-34, 35-inf
chr12	6936717	6936773	Dentatorubro-pallidoluysian atrophy	125370	7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,30	1,2,1,16,7,23,5,29,49,16,57,26,36,19,6,5,1,1	Normal, Expanded	0-35, 36-inf
chr22	45795355	45795424	Spinocerebellar ataxia 10	603516	7,9,11,12,13,14,15,16,17,18,19	2,1,7,43,75,87,43,21,11,6,4	Normal, Expanded	0-32, 33-inf
chr6	16327634	16327723	Spinocerebellar ataxia 1	164400	19,20,21,22,24,25,27,28,29,30,31,32,33,34,35,36,37,38	1,1,1,1,2,1,26,20,43,59,84,28,21,5,1,2,3,1	Normal, Expanded	0-35, 36-inf
chr12	111598950	111599018	Spinocerebellar ataxia 2	183090	19,21,22,23,24,26,27,29,30,31,33	2,1,237,48,4,1,1,2,2,1,1	Normal, Expanded	0-31, 32-inf
chr14	92071010	92071042	Machado-Joseph disease	109150	9,11,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36	1,71,2,11,10,14,24,46,14,3,7,30,17,7,6,6,5,9,8,6,1,1,1	Normal, Expanded	0-44, 45-inf
chr3	63912685	63912714	Spinocerebellar ataxia 7	164500	1,2,3,4,7,8,9,10,11,12,13,15,21	1,1,5,1,5,2,4,217,25,29,8,1,1	Normal, Expanded	0-27, 28-inf
chr13	70139384	70139428	Spinocerebellar ataxia 8	608768	8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,33,36,37,38,71,81,118	4,55,3,19,40,6,21,54,18,26,10,13,8,9,5,2,1,1,1,1,1,1,1	Normal, Expanded	0-50, 51-inf
chr9	27573529	27573546	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1	105550	2,3,4,5,6,7,8,9,10,11,12,13,14,17,19,23,27,41	147,2,22,17,24,25,26,9,13,1,4,3,2,1,1,1,1,1	Normal, Expanded	0-25, 26-inf
chr19	13207859	13207897	Spinocerebellar ataxia 6	183086	4,7,8,10,11,12,13,14,15,38	2,28,1,4,102,62,85,13,2,1	Normal, Expanded	0-18, 19-inf
chr11	119206290	119206322	Jacobsen syndrome	147791	4,7,8,10,11,12,13,14,15,16,17,18,19,20,22,25	1,1,21,6,192,36,8,10,8,3,3,1,3,4,1,2	Normal, Expanded	0-80, 81-inf
chr3	129172577	129172656	Myotonic dystrophy 2	602668	6,8,10,11,12,15,16,17,18,19,20,21,22,24,26,27,28,30,41	3,1,2,5,1,130,68,38,12,19,4,7,4,1,1,1,1,1,1	Normal, Expanded	0-50, 51-inf
chr21	43776444	43776479	Epilepsy, progressive myoclonic 1A (Unverricht and Lundborg)	254800	2,3,4,6,7,10,11,13	133,160,2,1,1,1,1,1	Normal, Expanded	0-3, 4-inf
chr19	45770205	45770264	Myotonic dystrophy 1	160900	5,6,7,8,9,10,11,12,13,14,15,16,17,19,21,22,24,26,27,32,33	110,1,4,1,2,11,29,55,38,16,13,4,1,1,5,2,3,1,1,1,1	Normal, Expanded	0-34, 35-inf
chrX	147912051	147912110	Fragile X syndrome	300624	8,11,15,20,22,23,24,25,28,29,30,31,32,33,34,35,36,37,38,39,41,43,47,52,55,56,57,60	1,1,1,3,7,5,3,2,1,60,50,20,5,4,1,2,9,6,1,4,1,1,1,8,1,1,1,1	Normal, Expanded	0-44, 45-inf
chr9	69037287	69037304	Friedreich ataxia	229300	5,6,7,8,9,10,13,14,16,17,18,19,20,21,23,24,25,26	9,7,2,113,135,1,4,1,4,5,4,6,1,3,1,1,1,2	Normal, Expanded	0-33, 34-inf
chr4	3074877	3074933	Huntington disease	143100	9,11,12,15,16,17,18,19,20,21,22,23,24,25,27,28	1,1,2,33,25,99,46,31,20,10,10,8,6,2,3,3	Normal, Expanded	0-26, 27-inf
chr16	87604288	87604329	Huntington disease-like 2	606438	5,11,12,13,14,15,16,17,18,19,20,22,23,26,27,28,29,33	1,5,1,20,139,41,49,17,9,5,1,1,1,4,2,1,2,1	Normal, Expanded	0-28, 29-inf
chr20	2652734	2652757	Spinocerebellar ataxia 36	614153	4,5,6,7,8,9,10,11	72,37,32,122,11,21,2,3	Normal, Expanded	0-14, 15-inf
chr5	146878728	146878757	Spinocerebellar ataxia 12	604326	9,10,11,13,14,15,16,17,18,19,20,23	31,129,3,43,30,28,17,13,1,3,1,1	Normal, Expanded	0-32, 33-inf
chr18	55586156	55586227	Fuchs' Corneal Dystrophy	613267	5,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33,34,35,36,37,46,52,54	1,76,5,4,18,32,12,32,9,6,5,6,12,12,20,11,9,10,4,4,2,2,2,1,1,1,1,1,1	Normal, Expanded	0-39, 40-inf
chr15	22786678	22786701	Amyotrophic lateral sclerosis	600363	6,7,8,9,10,19,20,24,33	1,127,162,2,4,1,1,1,1	Normal, Expanded	0-8, 9-inf
chr2	190880874	190880920	Glutaminase deficiency	618412	7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25	1,99,6,12,5,7,21,53,49,13,11,6,8,4,2,1,1,1	Normal, Expanded	0-89, 90-inf
